                  "Porosity / Sw" Zones

Date: 25.01.2018 10:16:03

Well            Zone_Name  Top        Bottom    
Landau 079      Mioc       238.298    460.705   
Landau 079      Cer        460.705    505.968   
Landau 079      BNS        505.968    524.408   
Landau 079      CM         524.408    663.245   
Landau 079      Me         663.245    765.353   
Landau 079      MeeS       765.353    801.223   
Landau 079      Ba         801.223    837.438   
Landau 207      Mioc       154.49     296.57    
Landau 207      Cer        296.57     335.128   
Landau 207      BNS        335.128    462.839   
Landau 207      CM         462.839    686.257   
Landau 207      Me         686.257    783.184   
Landau 207      PE         783.184    784.5     
Landau 207      MeeS       784.5      841.858   
Landau 207      Ba         841.858    962.821   
Landau 207      LK         962.821    991.667   
Landau 207      MuKa       991.667    1128.674  
Landau 207      BuntSst    1128.827   1625.498  
Landau 207      ZechSt     1625.803   1642.415  
Landau 207      Rotl       1642.72    1686.154  
Landau 207      BauSst     1686.458   1721.206  
Landau 206      Mioc       130.427    324.917   
Landau 206      Cer        324.917    363.931   
Landau 206      BNS        363.931    458.322   
Landau 206      CM         458.322    671.322   
Landau 206      Me         671.322    771.754   
Landau 206      MeeS       771.754    806.228   
Landau 206      Ba         806.228    855.269   
Landau 203      Mioc       149.418    295.09    
Landau 203      Cer        295.09     332.973   
Landau 203      BNS        332.973    364.004   
Landau 203      CM         364.004    695.112   
Landau 203      Me         695.112    786.282   
Landau 203      MeeS       786.282    822.802   
Landau 203      Ba         822.802    884.987   
Landau 091      Mioc       189.128    826.618   
Landau 091      Cer        826.618    975.512   
Landau 091      BNS        975.512    1219.962  
Landau 091      CM         1219.962   1386.535  
Landau 091      ME         1386.535   1441.247  
Landau 091      PE         1441.247   1662.606  
Landau 091      Ba         1662.606   1798.625  
Landau 091      LK         1798.625   1824.685  
Landau 091      MuKa       1824.685   1845.698  
Landau 126      Mioc       156.178    327.78    
Landau 126      Cer        327.78     365.118   
Landau 126      BNS        365.118    515.537   
Landau 126      CM         515.537    676.624   
Landau 126      Me         676.624    770.045   
Landau 126      MeeS       770.045    808.45    
Landau 126      Ba         808.45     941.343   
Landau 126      LK         941.343    962.526   
Landau 126      MuKa       962.526    1006.418  
Landau 095      Mioc       211.6      828.4     
Landau 095      Cer        828.4      965.1     
Landau 095      BNS        965.1      1132.7    
Landau 095      Ba         1132.7     1184.8    
Landau 095      LK         1184.8     1198.2    
Landau 095      MuKa       1198.2     1244.3    
Landau 101      Mioc       153.615    328.6     
Landau 101      Cer        328.6      347.9     
Landau 101      BNS        347.9      485.344   
Landau 101      CM         485.344    714.2     
Landau 101      Me         714.2      813.5     
Landau 101      MeeS       813.5      841.451   
Landau 101      Ba         841.451    995.321   
Landau 101      LK         995.321    1024.658  
Landau 101      MuKa       1024.658   1105      
Landau 119      Mioc       172.361    296.6     
Landau 119      Cer        296.6      340.2     
Landau 119      BNS        340.2      486.33    
Landau 119      CM         486.33     706.8     
Landau 119      Me         706.8      802       
Landau 119      MeeS       802        828.4     
Landau 119      Ba         828.4      953.837   
Landau 119      LK         953.837    984       
Landau 119      MuKa       984.148    1010      
Landau 121      Mioc       36         351       
Landau 121      Cer        351        387.057   
Landau 121      BNS        387.057    504.315   
Landau 121      CM         504.315    713.258   
Landau 121      Me         713.258    781.4     
Landau 121      MeeS       781.4      820.026   
Landau 121      Ba         820.026    910       
Landau 122      Mioc       149.9      319.8     
Landau 122      Cer        319.8      363.6     
Landau 122      BNS        363.6      519.761   
Landau 122      CM         519.761    692.8     
Landau 122      Me         692.8      778.6     
Landau 122      MeeS       778.6      827.35    
Landau 122      Ba         827.35     902       
Landau 132      Mioc       201.4      849.5     
Landau 132      Cer        849.5      1028.9    
Landau 132      BNS        1028.9     1220.2    
Landau 132      CM         1220.2     1439      
Landau 142      Mioc       203.6      904.4     
Landau 142      Cer        904.4      1043.2    
Landau 142      BNS        1043.2     1262.5    
Landau 142      CM         1262.6     1280      
Landau 142      PE         1280       1653.8    
Landau 142      Ba         1653.8     1805.1    
Landau 142      LK         1805.1     1829.1    
Landau 142      MuKa       1829.1     1866.5    
Landau 146      Mioc       222.1      895       
Landau 146      Cer        895        1001.6    
Landau 146      BNS        1001.6     1187.4    
Landau 146      CM         1187.4     1234.7    
Landau 052      Mioc       189.128    489.378   
Landau 052      Cer        489.378    598.954   
Landau 052      BNS        598.954    704.11    
Landau 052      CM         704.11     938.044   
Landau 052      ME         938.044    1071.089  
Landau 052      PE         1071.089   1624.911  
Landau 204      Mioc       160.325    518.922   
Landau 204      Cer        518.922    597.56    
Landau 204      BNS        597.56     748.284   
Landau 204      CM         748.284    983.742   
Landau 204      ME         983.742    1108.1    
Landau 099      Mioc       189.128    489.378   
Landau 099      Cer        489.378    569.1     
Landau 099      BNS        569.1      775.3     
Landau 099      CM         775.3      1016.1    
Landau 099      ME         1016.1     1108.1    
Landau 099      PE         1108.1     1340      
Landau 250 A1   Mioc       165.5      298.704   
Landau 250 A1              298.704    428.549   
Landau 250 A1   Cer        428.549    495.91    
Landau 250 A1   BNS        495.91     757.885   
Landau 250 A1   CM         757.885    959.358   
Landau 250 A1   Me         959.358    1015.898  
Landau 173      Mioc       165.5      777       
Landau 173      Cer        777        794.5     
Landau 173      CM         795        900.5     
Landau 173      Me         900.5      927.5     
Landau 173      MEES       927.5      995.5     
Landau 172      Mioc       189.128    417.119   
Landau 172      Cer        417.119    506.882   
Landau 172      BNS        506.882    721.462   
Landau 172      CM         721.462    964.235   
Landau 172      ME         964.235    1054.913  
Landau 171      Mioc       165.5      463.906   
Landau 171      Cer        463.906    563.575   
Landau 171      BNS        563.575    778.916   
Landau 171      CM         778.916    1015      
Landau 171      Me         1015       1118.616  
Landau 169      Mioc       189.128    717.347   
Landau 169      Cer        717.347    722.833   
Landau 169      BNS        722.833    745.846   
Landau 169      CM         745.846    950.824   
Landau 169      ME         950.824    1054.913  
Landau 169      PE         1065.2     1279.1    
Landau 169      Ba         1279.8     1300      
Landau 169      LK         1300       1406.9    
Landau 169      MuKa       1406.9     1445.8    
Landau 150      Mioc       189.128    412.3     
Landau 150      Cer        412.3      495.9     
Landau 150      BNS        495.9      714       
Landau 150      CM         714        957.2     
Landau 150      ME         957.2      1065.2    
Landau 150      PE         1065.2     1279.6    
Landau 150      Ba         1279.8     1300      
Landau 150      LK         1300       1420.8    
Landau 150      MuKa       1420.8     1445.8    
Landau 155      Mioc       165.5      424.7     
Landau 155      Cer        424.7      495.2     
Landau 155      BNS        495.2      678       
Landau 155      CM         678        911.2     
Landau 155      ME         911.2      1006.2    
Landau 155      MeeS       1006.2     1035.1    
Landau 157      Mioc       189.128    484       
Landau 157      Cer        484        495.9     
Landau 157      BNS        495.9      698.6     
Landau 157      CM         698.6      948.7     
